887259.83	291671.46
880502	281499
876840.95	300381.53
887218	305525
890104.59	292817.06
854148	305654
882704	282072
885138	332491
870465	324319
882208	313140
883879	272540
877710	320210
894950.27	272154.8
894498	297181
890085	292432
879160	312880
863337	300843
858534	271556
890851	297599
856374	274651
880657	285090
855917	277813
872635.49	288921.87
872115	283829
849562	291041
875161.88	290570.07
884873.25	317005.72
880822	303161
879044	279242
873098.9	289082.51
876676.41	291535.55
879976	293532
872671	279458
874896	287716
858467	280462
875845	278920
873970	323640
888867	272045
867930	301647
875120.89	291146.05
855020	270850
840521	298605
881190	315960
861471	298533
860187	286374
860692.78	297629.35
861064.85	270312.55
884092	273459
870780	282249
871342	268854
891227	317833
882869	315655
865800.81	305895.73
877728	285985
896069	290949
861030	306776
861039.21	294746.3
875804	310324
852104	304174
891951	296123
862985.64	296645.56
838695.62	304125.17
886000.31	304267.42
888532	278947
887375	306008
853363	280183
887589	278193
844902	279364
874731.63	311823.06
878425.31	306250.05
869678	269121
893351	297518
872140	319536
842436.5	297295.1
873106	288788
861925	283510
879603	279921
890164.69	297876.15
893452	297164
870768	307072
871930	286620
857530	270430
840798.35	295674.67
884627	281176
857557	272317
892818	310402
882650	318801
886267.24	297133.48
876534	276866
884035	279214
871503	298235
862468	281955
894919	297096
871302	288696
884770	265920
879883	284513
844621.76	292941.95
876193	282045
858541	274465
853096	281200
875730	281926
891450	310944
864201	297207
875908	282660
879531	271819
883068	277082
857431	273008
890828	280407
856809	296646
858654	279935
863783	285530
869971.35	296259.30
873061	297656
870039.26	296879.51
874490	291150
871858	320799
865600	289300
859590	270466
888682.94	272450.39
844592.67	306535.15
837243.88	274844.62
877725	325896
856922	271328
873220	296585
859287	312651
877842.39	312063.84
882785.02	316935.41
875102	289532
884405	304564
892821.43	311393.83
855540.23	268726.37
864970	270165
892250	315600
876350	286130
863968	309829
869589.05	281512.24
869657	269143
847637.89	303053.12
883914	279530
860799.68	284145.06
875807	281988
887997.69	303734.89
890543	296469
881823	301888
877180	325776
872530	297420
844558.3	283872.25
872053	278709
855123	273125
881946	282972
870780	282200
846133	273052
869380	288430
857627.02	274005.08
887550	284300
862283	277078
869473.82	312549.70
885744	307709
837409.1	291522.5
886410	312260
870033	281394
883739	280037
866210	269883
875579.53	270618.36
863728	295524
838724	290896
881170.47	283652.79
853017	276976
880806.71	303170.56
855960.28	273433.93
885683	308291
869830	268900
888465	282678
873419.62	312727.19
886452	304647
887775.08	305198.28
840130	303400
840350	303390
893587	301344
875647	292862
846038	272977
864013.48	307951.08
864391.77	308440.44
865229	293735
858773.02	272781.83
854056	277610
883635	317264
878472	299871
838121	303975
893234	296589
876900	282130
867088	268715
888342.48	266798.56
843741	306203
851332.95	305407.49
884875	291275
878025	281925
875610	282728
876388	321370
886271.24	307758.05
887574.71	296319.73
890675	297886
861197	283499
879930	318080
864532.23	307435.94
879892	311473
853421	284058
878569	264829
880922	315578
861337	277861
857850	263550
853105.57	303520.49
873043	299855
876077	275189
887937.31	306895.44
862810	290500
876140	282490
862197	272383
887241.85	292770.3
844109.1	283347.46
886959	279210
859000	268490
882259	262811
856971	293124
880145	318073
890691.00	314640.00
855471	283776
887441	288640
870265	324269
872906	320469
891593	313251
880210	297825
836367	293655
893097.3	293869.99
883024	281213
855911	268786
882000	282900
857078	286343
852676	278196
852897	278172
878866.15	337176.76
869620	284000
859100	269110
889029	319636
870300	332100
849411	278489
880435	339943
884490.57	321082.05
840245.7	303235.3
842239.45	296218.38
876498	293180
852300	310900
886018.73	307643.33
834499	291912
871649.84	289924.25
873919.8	290084.13
873309.46	282292.81
856604.28	269811.7
870510	269420
856169	273641
873900	316150
885185.08	331177.96
851790.41	307585.01
862195	297373
887163.10	295623.08
872630	288790
876868	294239
858294	279321
